cohort_month,period_number,customers_in_cohort,retained_customers,retention_rate,revenue,revenue_per_customer,run_id,generated_at
2024-05,0,39.0,39.0,1.0,20165.0,517.0512820512821,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,1,39.0,39.0,1.0,18016.0,461.94871794871796,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,2,39.0,39.0,1.0,20612.0,528.5128205128206,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,3,39.0,38.0,0.9743589743589743,19516.0,500.4102564102564,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,4,39.0,38.0,0.9743589743589743,16265.0,417.05128205128204,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,5,39.0,38.0,0.9743589743589743,19764.0,506.7692307692308,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,6,39.0,37.0,0.9487179487179487,18515.0,474.7435897435897,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,7,39.0,36.0,0.9230769230769231,17419.0,446.64102564102564,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,8,39.0,36.0,0.9230769230769231,17667.0,453.0,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,9,39.0,36.0,0.9230769230769231,16167.0,414.53846153846155,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,10,39.0,36.0,0.9230769230769231,16066.0,411.94871794871796,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,11,39.0,35.0,0.8974358974358975,17517.0,449.15384615384613,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,12,39.0,35.0,0.8974358974358975,18016.0,461.94871794871796,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,13,39.0,0.0,0.0,17517.0,449.15384615384613,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,14,39.0,0.0,0.0,18016.0,461.94871794871796,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,15,39.0,0.0,0.0,15319.0,392.79487179487177,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,16,39.0,0.0,0.0,18166.0,465.79487179487177,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,17,39.0,0.0,0.0,17869.0,458.1794871794872,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,18,39.0,0.0,0.0,15570.0,399.2307692307692,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,19,39.0,0.0,0.0,14523.0,372.38461538461536,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,20,39.0,0.0,0.0,12775.0,327.56410256410254,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
2024-05,21,39.0,0.0,0.0,17370.0,445.38461538461536,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
